mood,sleep_hours,stress_level,task_priority,task_duration,action,time_slot
neutral,6,2,low,61,do_now,evening
neutral,3,8,medium,84,rest,evening
happy,7,6,medium,48,delay,morning
neutral,5,4,medium,83,rest,afternoon
happy,6,6,high,177,do_now,morning
stressed,4,9,low,66,rest,evening
happy,7,4,medium,38,do_now,evening
sad,6,7,medium,127,light,afternoon
happy,3,7,medium,72,delay,afternoon
neutral,9,7,medium,59,rest,morning
stressed,4,2,high,167,light,afternoon
happy,4,10,medium,162,rest,evening
stressed,4,8,low,157,rest,evening
stressed,9,10,medium,162,rest,evening
happy,9,1,low,70,light,morning
neutral,9,5,high,135,rest,morning
neutral,7,3,medium,43,delay,evening
sad,8,6,high,89,light,afternoon
neutral,9,8,high,132,rest,evening
sad,3,3,low,69,light,afternoon
stressed,8,4,low,121,do_now,evening
stressed,4,6,low,43,do_now,afternoon
stressed,5,5,medium,102,delay,afternoon
sad,4,7,high,145,light,afternoon
stressed,9,3,medium,95,light,afternoon
stressed,5,5,high,129,do_now,afternoon
happy,6,5,high,82,do_now,morning
neutral,4,4,high,80,delay,evening
neutral,4,1,high,43,light,afternoon
stressed,9,7,medium,69,do_now,morning
happy,4,10,high,37,do_now,morning
happy,8,9,high,158,do_now,morning
neutral,5,7,high,63,do_now,morning
happy,3,5,medium,50,delay,evening
happy,9,5,medium,153,rest,morning
neutral,8,2,medium,42,light,evening
stressed,3,4,medium,175,do_now,evening
stressed,3,1,medium,67,do_now,evening
neutral,6,3,high,113,delay,morning
stressed,5,8,high,131,rest,evening
neutral,9,4,high,37,light,morning
neutral,9,3,low,133,rest,evening
stressed,3,8,high,106,rest,evening
happy,5,3,medium,55,delay,morning
happy,9,8,low,134,rest,evening
happy,6,8,low,148,rest,evening
happy,7,1,high,137,do_now,morning
sad,9,6,medium,126,light,afternoon
stressed,5,4,low,33,rest,morning
neutral,5,3,low,120,light,evening
neutral,7,5,medium,47,do_now,morning
sad,5,10,high,48,rest,evening
sad,6,4,high,159,light,afternoon
sad,4,3,low,178,light,afternoon
neutral,3,7,low,59,delay,morning
stressed,7,8,medium,176,rest,evening
neutral,9,6,low,66,light,afternoon
sad,3,7,high,42,light,afternoon
neutral,8,9,medium,111,rest,evening
sad,7,3,low,152,light,afternoon
happy,4,9,high,106,do_now,morning
happy,4,3,high,47,do_now,morning
stressed,8,2,medium,87,delay,afternoon
sad,5,10,high,155,rest,evening
sad,8,5,low,155,light,afternoon
stressed,8,7,medium,102,delay,afternoon
sad,4,1,medium,51,light,afternoon
sad,3,2,medium,147,light,afternoon
happy,4,5,low,119,do_now,evening
neutral,5,5,medium,82,delay,afternoon
neutral,4,8,low,57,rest,evening
stressed,4,1,medium,148,rest,evening
happy,4,4,low,111,do_now,afternoon
sad,7,10,medium,165,rest,evening
neutral,9,8,high,40,rest,evening
happy,7,4,high,110,do_now,morning
sad,6,1,medium,174,light,afternoon
happy,7,4,low,68,light,morning
sad,5,9,high,85,rest,evening
neutral,6,3,high,157,delay,evening
neutral,4,5,high,167,rest,morning
happy,6,2,low,139,delay,evening
sad,7,3,high,165,light,afternoon
neutral,8,1,medium,130,delay,afternoon
neutral,6,4,low,106,delay,morning
sad,7,6,medium,105,light,afternoon
happy,7,5,low,168,rest,evening
neutral,9,5,medium,120,delay,evening
neutral,6,9,high,180,rest,evening
neutral,5,8,medium,155,rest,evening
neutral,4,2,medium,59,light,evening
sad,3,9,low,42,rest,evening
sad,5,7,medium,144,light,afternoon
happy,4,2,medium,94,rest,evening
happy,6,6,high,120,do_now,morning
sad,9,8,low,71,rest,evening
neutral,8,4,low,112,delay,afternoon
sad,8,5,low,68,light,afternoon
neutral,7,8,low,163,rest,evening
sad,8,9,high,69,rest,evening
happy,6,7,low,102,rest,evening
sad,3,2,low,112,light,afternoon
stressed,9,6,high,95,do_now,morning
neutral,8,10,medium,37,rest,evening
stressed,6,7,low,80,rest,morning
sad,4,3,low,156,light,afternoon
stressed,9,9,medium,151,rest,evening
sad,8,9,low,31,rest,evening
stressed,7,5,low,90,rest,evening
stressed,7,3,medium,82,light,morning
neutral,6,6,high,80,rest,evening
sad,9,5,low,158,light,afternoon
neutral,4,9,medium,54,rest,evening
happy,3,3,low,67,do_now,evening
happy,8,4,medium,55,light,evening
neutral,7,6,high,123,light,morning
sad,8,10,medium,138,rest,evening
sad,8,2,medium,38,light,afternoon
stressed,5,5,low,173,delay,afternoon
sad,3,10,low,45,rest,evening
stressed,4,2,low,87,light,evening
sad,9,4,high,169,light,afternoon
sad,4,3,high,123,light,afternoon
sad,5,5,high,170,light,afternoon
neutral,8,2,medium,87,delay,afternoon
happy,8,10,high,99,do_now,morning
happy,8,4,low,38,do_now,morning
happy,6,8,high,31,do_now,morning
sad,3,5,medium,140,light,afternoon
neutral,6,6,high,79,light,evening
sad,6,6,medium,63,light,afternoon
happy,7,3,medium,91,light,morning
neutral,6,7,medium,126,delay,afternoon
neutral,6,9,medium,144,rest,evening
sad,4,7,low,58,light,afternoon
sad,9,10,high,107,rest,evening
happy,6,9,medium,41,rest,evening
sad,8,1,medium,32,light,afternoon
sad,3,1,high,60,light,afternoon
happy,4,5,low,50,delay,afternoon
happy,8,2,low,91,do_now,morning
neutral,9,9,medium,148,rest,evening
happy,7,4,low,31,light,morning
neutral,4,4,high,54,delay,evening
sad,6,8,medium,155,rest,evening
neutral,6,9,medium,50,rest,evening
stressed,8,1,high,35,delay,evening
neutral,4,6,low,78,light,afternoon
stressed,5,7,high,159,light,morning
happy,9,8,high,143,do_now,morning
stressed,7,6,high,71,light,evening
neutral,5,2,medium,127,rest,morning
stressed,4,3,medium,117,do_now,afternoon
neutral,6,5,medium,166,rest,afternoon
stressed,6,2,medium,171,light,afternoon
happy,8,3,high,76,do_now,morning
sad,4,3,low,88,light,afternoon
stressed,6,5,high,77,light,afternoon
happy,8,10,low,180,rest,evening
neutral,5,2,medium,90,delay,afternoon
sad,8,9,medium,124,rest,evening
stressed,7,9,high,105,rest,evening
happy,3,2,medium,138,rest,afternoon
sad,9,9,medium,129,rest,evening
neutral,8,4,low,68,delay,afternoon
sad,3,3,high,73,light,afternoon
happy,6,7,medium,137,light,morning
stressed,4,6,low,142,do_now,afternoon
stressed,8,5,high,96,rest,afternoon
stressed,3,6,medium,136,delay,evening
sad,5,4,low,78,light,afternoon
happy,6,5,low,52,do_now,evening
sad,5,3,low,92,light,afternoon
happy,4,5,medium,30,delay,evening
sad,7,6,high,38,light,afternoon
neutral,5,4,low,143,rest,morning
sad,9,7,medium,86,light,afternoon
happy,6,4,high,122,do_now,morning
neutral,8,10,medium,141,rest,evening
neutral,6,2,high,178,light,morning
happy,9,7,low,36,do_now,morning
stressed,7,3,medium,93,do_now,evening
sad,4,10,high,90,rest,evening
happy,6,6,high,84,do_now,morning
happy,7,2,high,59,do_now,morning
neutral,9,9,low,107,rest,evening
stressed,4,9,high,118,rest,evening
stressed,9,5,medium,77,rest,afternoon
neutral,3,1,high,109,rest,afternoon
stressed,3,9,low,40,rest,evening
happy,3,2,high,115,do_now,morning
sad,6,5,low,136,light,afternoon
sad,6,4,high,96,light,afternoon
stressed,5,7,medium,133,rest,afternoon
stressed,4,8,high,154,rest,evening
stressed,7,5,low,43,do_now,morning
sad,3,4,medium,79,light,afternoon
sad,8,8,high,161,rest,evening
sad,5,7,medium,157,light,afternoon
neutral,3,2,high,48,delay,morning
sad,3,3,high,134,light,afternoon
neutral,3,10,low,75,rest,evening
stressed,9,1,high,151,light,morning
happy,8,10,high,117,do_now,morning
stressed,5,1,low,134,rest,morning
happy,9,10,low,138,rest,evening
stressed,8,9,high,88,rest,evening
sad,6,9,low,89,rest,evening
neutral,8,1,medium,136,do_now,evening
stressed,9,9,medium,75,rest,evening
happy,5,1,high,176,do_now,morning
neutral,8,1,high,45,do_now,morning
happy,3,7,medium,165,light,afternoon
happy,3,6,low,52,do_now,afternoon
stressed,5,7,medium,157,light,afternoon
neutral,9,8,medium,85,rest,evening
neutral,9,8,low,33,rest,evening
stressed,3,10,high,43,rest,evening
neutral,9,9,high,75,rest,evening
neutral,5,4,high,54,light,morning
happy,9,6,low,107,delay,afternoon
sad,7,3,low,155,light,afternoon
stressed,6,2,medium,119,do_now,evening
stressed,6,1,high,147,light,evening
happy,4,7,low,174,light,afternoon
stressed,6,6,medium,86,light,evening
neutral,7,2,high,57,light,afternoon
happy,4,4,medium,173,light,morning
stressed,8,5,medium,124,light,evening
stressed,3,5,low,134,do_now,morning
neutral,8,6,high,46,rest,afternoon
stressed,5,4,low,166,delay,evening
neutral,3,10,high,132,rest,evening
sad,7,3,medium,89,light,afternoon
happy,8,6,low,124,do_now,morning
happy,9,1,medium,104,do_now,morning
neutral,9,5,high,48,do_now,afternoon
happy,7,3,low,98,rest,afternoon
sad,9,10,high,64,rest,evening
neutral,8,5,high,56,light,afternoon
happy,5,7,medium,158,light,morning
sad,7,2,low,123,light,afternoon
neutral,9,1,low,114,delay,evening
stressed,4,3,high,53,delay,evening
neutral,4,8,medium,96,rest,evening
stressed,5,10,high,104,rest,evening
sad,7,6,medium,168,light,afternoon
stressed,7,10,low,102,rest,evening
stressed,5,6,high,139,delay,afternoon
stressed,9,6,high,123,rest,morning
stressed,6,7,high,180,do_now,afternoon
sad,4,6,medium,169,light,afternoon
happy,5,7,medium,67,light,morning
happy,6,6,high,80,do_now,morning
sad,6,9,high,48,rest,evening
stressed,6,7,high,122,light,evening
neutral,5,4,high,47,delay,morning
sad,8,6,high,147,light,afternoon
happy,3,10,high,131,do_now,morning
happy,7,7,low,52,rest,evening
happy,6,4,low,46,do_now,afternoon
happy,4,8,high,174,do_now,morning
neutral,7,10,high,91,rest,evening
stressed,3,5,high,126,do_now,morning
stressed,7,3,high,160,rest,afternoon
stressed,4,2,low,42,delay,morning
stressed,4,6,medium,140,light,morning
stressed,8,6,high,122,light,morning
stressed,8,9,low,65,rest,evening
neutral,6,10,low,114,rest,evening
sad,9,7,low,93,light,afternoon
sad,3,3,low,97,light,afternoon
happy,3,6,low,177,delay,morning
sad,8,9,low,66,rest,evening
sad,7,9,high,72,rest,evening
happy,7,6,low,158,delay,morning
sad,4,9,low,91,rest,evening
happy,5,10,medium,143,rest,evening
happy,7,5,high,61,do_now,morning
happy,8,8,high,74,do_now,morning
happy,4,2,low,157,delay,afternoon
stressed,4,3,low,156,light,afternoon
neutral,4,8,low,124,rest,evening
sad,8,8,high,56,rest,evening
happy,9,9,high,41,do_now,morning
neutral,4,2,medium,93,rest,morning
sad,4,5,medium,96,light,afternoon
sad,6,4,high,70,light,afternoon
neutral,8,7,medium,57,light,afternoon
stressed,6,1,high,123,rest,evening
happy,8,4,low,63,rest,morning
happy,9,6,medium,79,light,evening
stressed,6,5,high,107,light,evening
neutral,4,4,low,106,rest,morning
happy,7,1,low,143,delay,evening
stressed,3,3,low,132,do_now,afternoon
sad,8,8,high,122,rest,evening
stressed,3,4,low,31,light,evening
happy,7,6,medium,166,rest,morning
stressed,9,2,high,91,light,morning
neutral,5,2,medium,161,light,afternoon
sad,9,10,medium,74,rest,evening
neutral,4,2,high,88,rest,evening
sad,4,2,low,144,light,afternoon
stressed,4,1,low,79,do_now,afternoon
neutral,4,9,low,128,rest,evening
happy,6,10,low,94,rest,evening
neutral,7,7,low,89,rest,evening
neutral,6,2,high,165,rest,evening
happy,3,4,low,107,do_now,afternoon
stressed,6,3,medium,123,light,morning
neutral,9,3,high,121,light,morning
stressed,5,10,low,139,rest,evening
neutral,5,4,high,71,light,evening
stressed,3,3,low,170,rest,evening
stressed,6,10,high,59,rest,evening
neutral,6,3,high,78,light,evening
sad,4,8,high,90,rest,evening
neutral,9,1,low,111,delay,morning
neutral,6,6,high,158,do_now,morning
sad,7,3,high,103,light,afternoon
happy,5,7,high,72,do_now,morning
stressed,8,4,medium,108,delay,afternoon
sad,6,2,medium,179,light,afternoon
sad,9,1,low,151,light,afternoon
neutral,5,4,high,172,delay,afternoon
neutral,9,3,low,162,rest,afternoon
happy,6,3,medium,90,light,morning
stressed,4,6,medium,87,delay,afternoon
stressed,4,1,high,119,light,morning
stressed,5,1,low,84,do_now,morning
neutral,8,4,high,141,rest,afternoon
neutral,5,7,medium,110,do_now,morning
neutral,4,10,low,139,rest,evening
stressed,7,1,medium,69,do_now,evening
happy,4,6,high,173,do_now,morning
stressed,4,3,medium,59,rest,evening
sad,7,9,high,65,rest,evening
sad,5,1,medium,99,light,afternoon
neutral,4,3,low,33,do_now,afternoon
neutral,8,4,medium,103,do_now,evening
happy,9,3,medium,149,delay,afternoon
neutral,7,4,low,30,light,evening
stressed,3,5,low,38,rest,evening
sad,8,3,low,31,light,afternoon
happy,6,10,low,59,rest,evening
stressed,7,3,medium,88,do_now,morning
neutral,9,6,medium,105,rest,afternoon
happy,6,9,high,75,do_now,morning
stressed,4,10,high,109,rest,evening
neutral,4,7,medium,83,light,afternoon
stressed,8,8,high,169,rest,evening
happy,5,1,high,164,do_now,morning
neutral,8,4,low,173,do_now,evening
happy,4,6,medium,131,delay,evening
stressed,7,9,low,31,rest,evening
stressed,9,5,medium,136,do_now,morning
happy,9,2,high,142,do_now,morning
stressed,3,5,low,108,delay,evening
neutral,7,6,low,154,light,morning
stressed,8,8,high,40,rest,evening
neutral,3,10,low,133,rest,evening
stressed,6,9,low,90,rest,evening
neutral,7,9,medium,91,rest,evening
happy,8,2,medium,67,delay,morning
sad,6,6,high,149,light,afternoon
stressed,5,5,medium,79,do_now,evening
happy,3,3,high,59,do_now,morning
sad,4,9,medium,61,rest,evening
sad,6,5,low,61,light,afternoon
stressed,6,9,low,124,rest,evening
neutral,5,1,medium,68,rest,afternoon
neutral,4,5,high,108,do_now,evening
neutral,5,2,high,70,rest,evening
neutral,8,3,low,95,do_now,evening
stressed,9,1,low,107,delay,evening
happy,8,4,medium,70,rest,morning
neutral,5,8,high,51,rest,evening
neutral,5,5,high,108,light,evening
sad,6,6,high,85,light,afternoon
neutral,7,8,medium,59,rest,evening
stressed,6,5,medium,146,rest,evening
happy,3,6,medium,157,light,evening
sad,7,7,high,134,light,afternoon
happy,6,5,medium,74,light,afternoon
happy,6,9,medium,115,rest,evening
neutral,8,7,low,64,light,afternoon
neutral,6,2,high,126,light,evening
neutral,3,3,high,100,do_now,evening
neutral,8,10,low,83,rest,evening
stressed,9,7,high,107,rest,evening
sad,8,3,medium,178,light,afternoon
happy,3,10,low,139,rest,evening
happy,5,7,low,124,delay,morning
stressed,6,7,medium,42,rest,morning
happy,3,4,medium,130,do_now,morning
stressed,8,5,low,122,rest,afternoon
happy,5,10,low,126,rest,evening
stressed,9,5,high,104,light,morning
stressed,9,5,low,142,do_now,evening
happy,5,9,medium,46,rest,evening
neutral,8,1,medium,92,do_now,evening
happy,7,10,high,128,do_now,morning
happy,9,6,high,51,do_now,morning
sad,9,1,high,126,light,afternoon
happy,3,7,low,74,light,morning
sad,6,1,high,58,light,afternoon
sad,7,1,low,103,light,afternoon
stressed,8,2,medium,30,do_now,morning
happy,9,10,low,61,rest,evening
happy,5,10,low,67,rest,evening
stressed,7,3,high,116,delay,morning
stressed,4,9,low,173,rest,evening
sad,7,9,low,115,rest,evening
sad,6,5,low,64,light,afternoon
stressed,8,3,high,155,rest,afternoon
sad,9,8,medium,70,rest,evening
happy,3,8,high,107,do_now,morning
happy,8,8,medium,175,rest,evening
neutral,5,4,medium,64,do_now,afternoon
neutral,4,4,high,176,delay,morning
stressed,8,3,low,153,delay,morning
happy,3,10,medium,52,rest,evening
happy,6,2,high,171,do_now,morning
happy,6,5,medium,123,light,afternoon
happy,6,10,medium,79,rest,evening
neutral,4,9,low,164,rest,evening
neutral,4,10,medium,153,rest,evening
neutral,5,6,medium,94,delay,evening
sad,8,1,high,47,light,afternoon
neutral,7,10,high,78,rest,evening
stressed,6,5,high,169,light,afternoon
